# Tiny Monte Carlo by Scott Prahl (http://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =    32768
#
# 0.361920 seconds
# 90.539310 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 20766.31934	   308.73199
    50	  3253.56822	    45.12828
   100	  1356.51809	    17.18512
   150	   744.40232	     8.92311
   200	   482.86365	     5.44959
   250	   340.83125	     3.65144
   300	   260.81610	     2.63829
   350	   204.27997	     1.97729
   400	   162.37518	     1.52407
   450	   131.87241	     1.20473
   500	   111.29053	     0.98027
   550	    93.85671	     0.80640
   600	    81.00790	     0.67261
   650	    69.19594	     0.56943
   700	    60.18350	     0.48609
   750	    51.73533	     0.41592
   800	    46.90367	     0.36570
   850	    40.32897	     0.31451
   900	    36.32249	     0.27809
   950	    32.71713	     0.24631
  1000	    28.89218	     0.21625
  1050	    26.65891	     0.19613
  1100	    24.18886	     0.17662
  1150	    21.66263	     0.15812
  1200	    19.38405	     0.14223
  1250	    17.80212	     0.12944
  1300	    16.09411	     0.11694
  1350	    14.30147	     0.10568
  1400	    13.27643	     0.09707
  1450	    11.95082	     0.08872
  1500	    11.17668	     0.08131
  1550	     9.97240	     0.07437
  1600	     9.26738	     0.06881
  1650	     8.69931	     0.06349
  1700	     7.77553	     0.05823
  1750	     7.26420	     0.05440
  1800	     6.71182	     0.05006
  1850	     6.08950	     0.04587
  1900	     5.64669	     0.04335
  1950	     5.17027	     0.04005
  2000	     4.75633	     0.03733
  2050	     4.34908	     0.03471
  2100	     4.08871	     0.03253
  2150	     3.79030	     0.03038
  2200	     3.47259	     0.02827
  2250	     3.26681	     0.02644
  2300	     3.04637	     0.02505
  2350	     2.73963	     0.02315
  2400	     2.53448	     0.02180
  2450	     2.31170	     0.02025
  2500	     2.16098	     0.01895
  2550	     2.02056	     0.01770
  2600	     1.90544	     0.01685
  2650	     1.77951	     0.01596
  2700	     1.61775	     0.01485
  2750	     1.53137	     0.01414
  2800	     1.39973	     0.01312
  2850	     1.27342	     0.01226
  2900	     1.20787	     0.01168
  2950	     1.12757	     0.01103
  3000	     1.02521	     0.01033
  3050	     0.96522	     0.00975
  3100	     0.91850	     0.00934
  3150	     0.84149	     0.00871
  3200	     0.77960	     0.00830
  3250	     0.72296	     0.00774
  3300	     0.66569	     0.00734
  3350	     0.61089	     0.00679
  3400	     0.57886	     0.00664
  3450	     0.52614	     0.00602
  3500	     0.50496	     0.00588
  3550	     0.46187	     0.00554
  3600	     0.44186	     0.00530
  3650	     0.41420	     0.00497
  3700	     0.37567	     0.00457
  3750	     0.36207	     0.00444
  3800	     0.33557	     0.00416
  3850	     0.31054	     0.00393
  3900	     0.28928	     0.00371
  3950	     0.27154	     0.00357
  4000	     0.24580	     0.00325
  4050	     0.23776	     0.00321
  4100	     0.22034	     0.00297
  4150	     0.21147	     0.00291
  4200	     0.18595	     0.00259
  4250	     0.18110	     0.00259
  4300	     0.17159	     0.00253
  4350	     0.15720	     0.00235
  4400	     0.15020	     0.00228
  4450	     0.13804	     0.00212
  4500	     0.13015	     0.00201
  4550	     0.12293	     0.00187
  4600	     0.11278	     0.00176
  4650	     0.10224	     0.00167
  4700	     0.09970	     0.00165
  4750	     0.09222	     0.00154
  4800	     0.08307	     0.00135
  4850	     0.08108	     0.00134
  4900	     0.07859	     0.00134
  4950	     0.06912	     0.00119
# extra	     0.02391
# Tiny Monte Carlo by Scott Prahl (http://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =    32768
#
# 0.370191 seconds
# 88.516449 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 20766.31934	   308.73199
    50	  3253.56822	    45.12828
   100	  1356.51809	    17.18512
   150	   744.40232	     8.92311
   200	   482.86365	     5.44959
   250	   340.83125	     3.65144
   300	   260.81610	     2.63829
   350	   204.27997	     1.97729
   400	   162.37518	     1.52407
   450	   131.87241	     1.20473
   500	   111.29053	     0.98027
   550	    93.85671	     0.80640
   600	    81.00790	     0.67261
   650	    69.19594	     0.56943
   700	    60.18350	     0.48609
   750	    51.73533	     0.41592
   800	    46.90367	     0.36570
   850	    40.32897	     0.31451
   900	    36.32249	     0.27809
   950	    32.71713	     0.24631
  1000	    28.89218	     0.21625
  1050	    26.65891	     0.19613
  1100	    24.18886	     0.17662
  1150	    21.66263	     0.15812
  1200	    19.38405	     0.14223
  1250	    17.80212	     0.12944
  1300	    16.09411	     0.11694
  1350	    14.30147	     0.10568
  1400	    13.27643	     0.09707
  1450	    11.95082	     0.08872
  1500	    11.17668	     0.08131
  1550	     9.97240	     0.07437
  1600	     9.26738	     0.06881
  1650	     8.69931	     0.06349
  1700	     7.77553	     0.05823
  1750	     7.26420	     0.05440
  1800	     6.71182	     0.05006
  1850	     6.08950	     0.04587
  1900	     5.64669	     0.04335
  1950	     5.17027	     0.04005
  2000	     4.75633	     0.03733
  2050	     4.34908	     0.03471
  2100	     4.08871	     0.03253
  2150	     3.79030	     0.03038
  2200	     3.47259	     0.02827
  2250	     3.26681	     0.02644
  2300	     3.04637	     0.02505
  2350	     2.73963	     0.02315
  2400	     2.53448	     0.02180
  2450	     2.31170	     0.02025
  2500	     2.16098	     0.01895
  2550	     2.02056	     0.01770
  2600	     1.90544	     0.01685
  2650	     1.77951	     0.01596
  2700	     1.61775	     0.01485
  2750	     1.53137	     0.01414
  2800	     1.39973	     0.01312
  2850	     1.27342	     0.01226
  2900	     1.20787	     0.01168
  2950	     1.12757	     0.01103
  3000	     1.02521	     0.01033
  3050	     0.96522	     0.00975
  3100	     0.91850	     0.00934
  3150	     0.84149	     0.00871
  3200	     0.77960	     0.00830
  3250	     0.72296	     0.00774
  3300	     0.66569	     0.00734
  3350	     0.61089	     0.00679
  3400	     0.57886	     0.00664
  3450	     0.52614	     0.00602
  3500	     0.50496	     0.00588
  3550	     0.46187	     0.00554
  3600	     0.44186	     0.00530
  3650	     0.41420	     0.00497
  3700	     0.37567	     0.00457
  3750	     0.36207	     0.00444
  3800	     0.33557	     0.00416
  3850	     0.31054	     0.00393
  3900	     0.28928	     0.00371
  3950	     0.27154	     0.00357
  4000	     0.24580	     0.00325
  4050	     0.23776	     0.00321
  4100	     0.22034	     0.00297
  4150	     0.21147	     0.00291
  4200	     0.18595	     0.00259
  4250	     0.18110	     0.00259
  4300	     0.17159	     0.00253
  4350	     0.15720	     0.00235
  4400	     0.15020	     0.00228
  4450	     0.13804	     0.00212
  4500	     0.13015	     0.00201
  4550	     0.12293	     0.00187
  4600	     0.11278	     0.00176
  4650	     0.10224	     0.00167
  4700	     0.09970	     0.00165
  4750	     0.09222	     0.00154
  4800	     0.08307	     0.00135
  4850	     0.08108	     0.00134
  4900	     0.07859	     0.00134
  4950	     0.06912	     0.00119
# extra	     0.02391
# Tiny Monte Carlo by Scott Prahl (http://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =    32768
#
# 0.370107 seconds
# 88.536522 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 20766.31934	   308.73199
    50	  3253.56822	    45.12828
   100	  1356.51809	    17.18512
   150	   744.40232	     8.92311
   200	   482.86365	     5.44959
   250	   340.83125	     3.65144
   300	   260.81610	     2.63829
   350	   204.27997	     1.97729
   400	   162.37518	     1.52407
   450	   131.87241	     1.20473
   500	   111.29053	     0.98027
   550	    93.85671	     0.80640
   600	    81.00790	     0.67261
   650	    69.19594	     0.56943
   700	    60.18350	     0.48609
   750	    51.73533	     0.41592
   800	    46.90367	     0.36570
   850	    40.32897	     0.31451
   900	    36.32249	     0.27809
   950	    32.71713	     0.24631
  1000	    28.89218	     0.21625
  1050	    26.65891	     0.19613
  1100	    24.18886	     0.17662
  1150	    21.66263	     0.15812
  1200	    19.38405	     0.14223
  1250	    17.80212	     0.12944
  1300	    16.09411	     0.11694
  1350	    14.30147	     0.10568
  1400	    13.27643	     0.09707
  1450	    11.95082	     0.08872
  1500	    11.17668	     0.08131
  1550	     9.97240	     0.07437
  1600	     9.26738	     0.06881
  1650	     8.69931	     0.06349
  1700	     7.77553	     0.05823
  1750	     7.26420	     0.05440
  1800	     6.71182	     0.05006
  1850	     6.08950	     0.04587
  1900	     5.64669	     0.04335
  1950	     5.17027	     0.04005
  2000	     4.75633	     0.03733
  2050	     4.34908	     0.03471
  2100	     4.08871	     0.03253
  2150	     3.79030	     0.03038
