# Tiny Monte Carlo by Scott Prahl (http://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =    32768
#
# 0.171557 seconds
# 191.003177 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 20566.08984	   307.53919
    50	  3176.43792	    44.64630
   100	  1343.10614	    17.12227
   150	   742.77515	     8.88946
   200	   486.08511	     5.46247
   250	   347.32891	     3.67826
   300	   256.86833	     2.62560
   350	   200.19356	     1.96080
   400	   158.36959	     1.51184
   450	   132.56001	     1.20506
   500	   111.15530	     0.97662
   550	    94.67659	     0.80638
   600	    78.93099	     0.66774
   650	    69.69272	     0.57258
   700	    59.44197	     0.48413
   750	    53.47015	     0.42153
   800	    47.72756	     0.36706
   850	    41.11968	     0.31783
   900	    36.96082	     0.28042
   950	    33.05070	     0.24637
  1000	    30.03390	     0.22065
  1050	    26.42718	     0.19493
  1100	    23.98463	     0.17552
  1150	    21.66706	     0.15809
  1200	    19.33956	     0.14191
  1250	    17.63588	     0.12869
  1300	    16.26555	     0.11745
  1350	    14.61890	     0.10631
  1400	    13.21646	     0.09672
  1450	    12.06001	     0.08899
  1500	    10.99196	     0.08110
  1550	    10.09471	     0.07491
  1600	     9.28500	     0.06841
  1650	     8.40461	     0.06286
  1700	     7.81459	     0.05840
  1750	     7.19967	     0.05410
  1800	     6.57577	     0.04999
  1850	     6.06462	     0.04621
  1900	     5.67438	     0.04350
  1950	     5.16280	     0.04007
  2000	     4.69535	     0.03698
  2050	     4.34320	     0.03455
  2100	     4.07567	     0.03265
  2150	     3.70405	     0.03022
  2200	     3.46115	     0.02838
  2250	     3.26124	     0.02665
  2300	     3.00995	     0.02522
  2350	     2.75663	     0.02339
  2400	     2.52748	     0.02161
  2450	     2.33254	     0.02033
  2500	     2.15452	     0.01908
  2550	     2.00238	     0.01778
  2600	     1.86127	     0.01674
  2650	     1.70077	     0.01571
  2700	     1.59869	     0.01496
  2750	     1.51237	     0.01418
  2800	     1.38884	     0.01324
  2850	     1.26104	     0.01221
  2900	     1.19929	     0.01164
  2950	     1.09383	     0.01088
  3000	     1.01650	     0.01018
  3050	     0.99281	     0.00977
  3100	     0.90475	     0.00922
  3150	     0.85759	     0.00877
  3200	     0.77928	     0.00817
  3250	     0.72810	     0.00768
  3300	     0.67722	     0.00723
  3350	     0.63508	     0.00691
  3400	     0.58771	     0.00645
  3450	     0.54736	     0.00610
  3500	     0.51608	     0.00579
  3550	     0.49590	     0.00561
  3600	     0.44395	     0.00520
  3650	     0.41181	     0.00490
  3700	     0.38956	     0.00469
  3750	     0.36494	     0.00446
  3800	     0.33300	     0.00413
  3850	     0.32143	     0.00409
  3900	     0.29342	     0.00374
  3950	     0.26908	     0.00347
  4000	     0.25437	     0.00334
  4050	     0.23286	     0.00306
  4100	     0.22143	     0.00296
  4150	     0.20735	     0.00286
  4200	     0.19225	     0.00267
  4250	     0.18313	     0.00258
  4300	     0.17749	     0.00257
  4350	     0.16368	     0.00240
  4400	     0.15163	     0.00222
  4450	     0.14029	     0.00213
  4500	     0.13167	     0.00207
  4550	     0.12154	     0.00192
  4600	     0.11882	     0.00184
  4650	     0.10918	     0.00176
  4700	     0.10219	     0.00165
  4750	     0.09258	     0.00151
  4800	     0.08849	     0.00148
  4850	     0.08130	     0.00138
  4900	     0.07747	     0.00130
  4950	     0.07176	     0.00129
# extra	     0.02348
# Tiny Monte Carlo by Scott Prahl (http://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =    32768
#
# 0.170645 seconds
# 192.024539 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 20566.08984	   307.53919
    50	  3176.43792	    44.64630
   100	  1343.10614	    17.12227
   150	   742.77515	     8.88946
   200	   486.08511	     5.46247
   250	   347.32891	     3.67826
   300	   256.86833	     2.62560
   350	   200.19356	     1.96080
   400	   158.36959	     1.51184
   450	   132.56001	     1.20506
   500	   111.15530	     0.97662
   550	    94.67659	     0.80638
   600	    78.93099	     0.66774
   650	    69.69272	     0.57258
   700	    59.44197	     0.48413
   750	    53.47015	     0.42153
   800	    47.72756	     0.36706
   850	    41.11968	     0.31783
   900	    36.96082	     0.28042
   950	    33.05070	     0.24637
  1000	    30.03390	     0.22065
  1050	    26.42718	     0.19493
  1100	    23.98463	     0.17552
  1150	    21.66706	     0.15809
  1200	    19.33956	     0.14191
  1250	    17.63588	     0.12869
  1300	    16.26555	     0.11745
  1350	    14.61890	     0.10631
  1400	    13.21646	     0.09672
  1450	    12.06001	     0.08899
  1500	    10.99196	     0.08110
  1550	    10.09471	     0.07491
  1600	     9.28500	     0.06841
  1650	     8.40461	     0.06286
  1700	     7.81459	     0.05840
  1750	     7.19967	     0.05410
  1800	     6.57577	     0.04999
  1850	     6.06462	     0.04621
  1900	     5.67438	     0.04350
  1950	     5.16280	     0.04007
  2000	     4.69535	     0.03698
  2050	     4.34320	     0.03455
  2100	     4.07567	     0.03265
  2150	     3.70405	     0.03022
  2200	     3.46115	     0.02838
  2250	     3.26124	     0.02665
  2300	     3.00995	     0.02522
  2350	     2.75663	     0.02339
  2400	     2.52748	     0.02161
  2450	     2.33254	     0.02033
  2500	     2.15452	     0.01908
  2550	     2.00238	     0.01778
  2600	     1.86127	     0.01674
  2650	     1.70077	     0.01571
  2700	     1.59869	     0.01496
  2750	     1.51237	     0.01418
  2800	     1.38884	     0.01324
  2850	     1.26104	     0.01221
  2900	     1.19929	     0.01164
  2950	     1.09383	     0.01088
  3000	     1.01650	     0.01018
  3050	     0.99281	     0.00977
