# Tiny Monte Carlo by Scott Prahl (http://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =    32768
#
# 0.189411 seconds
# 172.999726 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 19853.50781	   303.03000
    50	  3310.58894	    45.46992
   100	  1283.22132	    16.79648
   150	   753.90171	     8.95311
   200	   471.69155	     5.39403
   250	   332.09444	     3.62856
   300	   258.95074	     2.63218
   350	   206.46863	     1.98495
   400	   165.63477	     1.53382
   450	   136.11758	     1.21600
   500	   113.12306	     0.98172
   550	    95.23840	     0.81004
   600	    80.72618	     0.67296
   650	    70.02748	     0.57010
   700	    60.82576	     0.48729
   750	    53.08959	     0.41867
   800	    47.11922	     0.36363
   850	    41.54464	     0.31795
   900	    37.67217	     0.28087
   950	    32.44797	     0.24469
  1000	    29.26817	     0.21886
  1050	    26.36651	     0.19589
  1100	    23.04475	     0.17312
  1150	    21.40825	     0.15682
  1200	    19.36942	     0.14151
  1250	    17.33748	     0.12734
  1300	    15.87609	     0.11629
  1350	    14.84697	     0.10650
  1400	    13.36665	     0.09670
  1450	    12.23497	     0.08908
  1500	    11.12666	     0.08148
  1550	    10.32383	     0.07552
  1600	     9.36399	     0.06920
  1650	     8.56727	     0.06345
  1700	     7.71822	     0.05833
  1750	     7.11253	     0.05390
  1800	     6.57244	     0.04995
  1850	     6.11616	     0.04653
  1900	     5.62788	     0.04318
  1950	     5.24497	     0.04039
  2000	     4.72721	     0.03751
  2050	     4.37551	     0.03500
  2100	     4.05721	     0.03249
  2150	     3.73307	     0.03017
  2200	     3.36863	     0.02785
  2250	     3.12997	     0.02619
  2300	     2.93220	     0.02472
  2350	     2.69940	     0.02288
  2400	     2.53363	     0.02174
  2450	     2.34271	     0.02039
  2500	     2.14027	     0.01886
  2550	     1.98800	     0.01771
  2600	     1.86320	     0.01689
  2650	     1.70590	     0.01563
  2700	     1.58217	     0.01480
  2750	     1.49381	     0.01384
  2800	     1.39558	     0.01326
