# Tiny Monte Carlo by Scott Prahl (http://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =    32768
#
# 0.107045 seconds
# 306.112973 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 20580.66064	   307.73921
    50	  3273.11886	    45.23155
   100	  1322.47574	    17.04537
   150	   741.16509	     8.88519
   200	   472.73836	     5.41243
   250	   334.88830	     3.63528
   300	   254.16693	     2.61665
   350	   204.26022	     1.97675
   400	   161.63847	     1.52813
   450	   132.62312	     1.20697
   500	   113.00715	     0.98395
   550	    94.03954	     0.80640
   600	    81.02289	     0.67632
   650	    68.95112	     0.56710
   700	    60.08417	     0.48467
   750	    53.45400	     0.41844
   800	    47.43049	     0.36563
   850	    41.40443	     0.31829
   900	    35.99107	     0.27707
   950	    32.51691	     0.24652
  1000	    29.29395	     0.21991
  1050	    26.14485	     0.19457
  1100	    23.69421	     0.17456
  1150	    21.58109	     0.15716
  1200	    19.31164	     0.14133
  1250	    17.48947	     0.12762
  1300	    16.14778	     0.11713
  1350	    14.44978	     0.10584
  1400	    13.22473	     0.09713
  1450	    12.25139	     0.08926
  1500	    11.04025	     0.08110
  1550	    10.31280	     0.07588
  1600	     9.40509	     0.06981
  1650	     8.53899	     0.06373
  1700	     7.79656	     0.05861
  1750	     7.28939	     0.05432
  1800	     6.65086	     0.05000
  1850	     6.09856	     0.04667
  1900	     5.67061	     0.04319
  1950	     5.12283	     0.03995
  2000	     4.70385	     0.03719
  2050	     4.46999	     0.03489
  2100	     4.03685	     0.03257
  2150	     3.70979	     0.03022
  2200	     3.47754	     0.02820
  2250	     3.21411	     0.02668
  2300	     2.98337	     0.02489
  2350	     2.70875	     0.02285
  2400	     2.50101	     0.02151
  2450	     2.36675	     0.02044
  2500	     2.21601	     0.01932
  2550	     2.04538	     0.01814
  2600	     1.89877	     0.01700
  2650	     1.72061	     0.01574
  2700	     1.61698	     0.01489
  2750	     1.50133	     0.01403
  2800	     1.42115	     0.01332
  2850	     1.29943	     0.01249
  2900	     1.19537	     0.01157
  2950	     1.10071	     0.01082
  3000	     1.02423	     0.01018
  3050	     0.94215	     0.00951
  3100	     0.88807	     0.00929
  3150	     0.82607	     0.00866
  3200	     0.76538	     0.00802
  3250	     0.71078	     0.00754
  3300	     0.66555	     0.00727
  3350	     0.62534	     0.00683
  3400	     0.57244	     0.00643
  3450	     0.54577	     0.00624
  3500	     0.50577	     0.00580
  3550	     0.47386	     0.00551
  3600	     0.44689	     0.00525
  3650	     0.41324	     0.00490
  3700	     0.39100	     0.00476
  3750	     0.35878	     0.00442
  3800	     0.33464	     0.00419
  3850	     0.31084	     0.00395
  3900	     0.30206	     0.00382
  3950	     0.28583	     0.00368
  4000	     0.25864	     0.00345
  4050	     0.24807	     0.00332
  4100	     0.22239	     0.00300
  4150	     0.21130	     0.00293
  4200	     0.20961	     0.00292
  4250	     0.18581	     0.00261
  4300	     0.17454	     0.00252
  4350	     0.16656	     0.00241
  4400	     0.15369	     0.00231
  4450	     0.14129	     0.00214
  4500	     0.13271	     0.00205
  4550	     0.12108	     0.00191
  4600	     0.11429	     0.00180
  4650	     0.11114	     0.00174
  4700	     0.09867	     0.00161
  4750	     0.09607	     0.00161
  4800	     0.08881	     0.00151
  4850	     0.08214	     0.00139
  4900	     0.07469	     0.00131
  4950	     0.07360	     0.00128
# extra	     0.02366
# Tiny Monte Carlo by Scott Prahl (http://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =    32768
#
# 0.105211 seconds
# 311.450954 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
