# Tiny Monte Carlo by Scott Prahl (http://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =    32768
#
# 0.190995 seconds
# 171.564535 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 20181.24316	   305.03214
    50	  3272.93764	    45.25830
   100	  1352.28284	    17.17325
   150	   738.07388	     8.87123
   200	   486.10398	     5.46758
   250	   346.02117	     3.68354
   300	   258.25987	     2.63654
   350	   199.58203	     1.96278
   400	   161.36929	     1.52242
   450	   132.95423	     1.21024
   500	   111.01113	     0.98224
   550	    94.12047	     0.80628
   600	    81.46207	     0.67733
   650	    69.34126	     0.56963
   700	    60.02937	     0.48646
   750	    53.42849	     0.41989
   800	    46.01568	     0.36272
   850	    40.69693	     0.31613
   900	    36.41617	     0.27825
   950	    32.82634	     0.24646
  1000	    29.07196	     0.21853
  1050	    26.67616	     0.19718
  1100	    23.89132	     0.17551
  1150	    21.48238	     0.15695
  1200	    19.42204	     0.14151
  1250	    17.46191	     0.12786
  1300	    16.00751	     0.11576
  1350	    14.80066	     0.10656
  1400	    13.35894	     0.09707
  1450	    12.16903	     0.08905
  1500	    11.24568	     0.08210
  1550	    10.14045	     0.07433
  1600	     9.33456	     0.06835
  1650	     8.73026	     0.06326
  1700	     7.83860	     0.05826
  1750	     7.21386	     0.05363
  1800	     6.67162	     0.04974
  1850	     6.08973	     0.04631
  1900	     5.59772	     0.04324
  1950	     5.22371	     0.04034
  2000	     4.81308	     0.03742
  2050	     4.40842	     0.03466
  2100	     4.00125	     0.03216
  2150	     3.83518	     0.03083
  2200	     3.39578	     0.02799
  2250	     3.14585	     0.02615
  2300	     2.93372	     0.02423
  2350	     2.72665	     0.02293
  2400	     2.52605	     0.02177
  2450	     2.30108	     0.02011
  2500	     2.16032	     0.01888
  2550	     2.03811	     0.01790
  2600	     1.87067	     0.01682
  2650	     1.73897	     0.01600
  2700	     1.61638	     0.01496
  2750	     1.45898	     0.01377
  2800	     1.39937	     0.01319
  2850	     1.27248	     0.01223
  2900	     1.21175	     0.01169
  2950	     1.10555	     0.01094
  3000	     1.02762	     0.01031
  3050	     0.94450	     0.00969
  3100	     0.89450	     0.00922
  3150	     0.82061	     0.00862
  3200	     0.77296	     0.00812
  3250	     0.72983	     0.00778
  3300	     0.68408	     0.00735
  3350	     0.63879	     0.00690
  3400	     0.58544	     0.00649
  3450	     0.54471	     0.00614
  3500	     0.52890	     0.00610
  3550	     0.48859	     0.00564
  3600	     0.44998	     0.00530
  3650	     0.41074	     0.00501
  3700	     0.38423	     0.00473
  3750	     0.35902	     0.00448
  3800	     0.33423	     0.00416
  3850	     0.31538	     0.00405
  3900	     0.30410	     0.00388
  3950	     0.26481	     0.00345
  4000	     0.25717	     0.00339
  4050	     0.24349	     0.00326
  4100	     0.22247	     0.00308
  4150	     0.20670	     0.00290
  4200	     0.19333	     0.00274
  4250	     0.18363	     0.00264
  4300	     0.16776	     0.00246
  4350	     0.16277	     0.00240
  4400	     0.14830	     0.00217
  4450	     0.13877	     0.00206
  4500	     0.13342	     0.00204
  4550	     0.12175	     0.00190
  4600	     0.11757	     0.00185
  4650	     0.10693	     0.00172
  4700	     0.09626	     0.00161
  4750	     0.09235	     0.00155
  4800	     0.08752	     0.00151
  4850	     0.08147	     0.00143
  4900	     0.07682	     0.00133
  4950	     0.07388	     0.00132
# extra	     0.02345
# Tiny Monte Carlo by Scott Prahl (http://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =    32768
#
# 0.189024 seconds
# 173.353855 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 20181.24316	   305.03214
    50	  3272.93764	    45.25830
   100	  1352.28284	    17.17325
   150	   738.07388	     8.87123
   200	   486.10398	     5.46758
   250	   346.02117	     3.68354
   300	   258.25987	     2.63654
   350	   199.58203	     1.96278
   400	   161.36929	     1.52242
   450	   132.95423	     1.21024
   500	   111.01113	     0.98224
   550	    94.12047	     0.80628
   600	    81.46207	     0.67733
   650	    69.34126	     0.56963
   700	    60.02937	     0.48646
   750	    53.42849	     0.41989
   800	    46.01568	     0.36272
   850	    40.69693	     0.31613
   900	    36.41617	     0.27825
   950	    32.82634	     0.24646
  1000	    29.07196	     0.21853
  1050	    26.67616	     0.19718
  1100	    23.89132	     0.17551
  1150	    21.48238	     0.15695
  1200	    19.42204	     0.14151
  1250	    17.46191	     0.12786
  1300	    16.00751	     0.11576
  1350	    14.80066	     0.10656
  1400	    13.35894	     0.09707
  1450	    12.16903	     0.08905
  1500	    11.24568	     0.08210
  1550	    10.14045	     0.07433
  1600	     9.33456	     0.06835
  1650	     8.73026	     0.06326
  1700	     7.83860	     0.05826
  1750	     7.21386	     0.05363
  1800	     6.67162	     0.04974
  1850	     6.08973	     0.04631
  1900	     5.59772	     0.04324
