# Tiny Monte Carlo by Scott Prahl (http://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =    32768
#
# 0.046587 seconds
# 703.368844 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 20480.86230	   306.91858
    50	  3277.77372	    45.27478
   100	  1319.84056	    16.99609
   150	   736.83676	     8.88718
   200	   487.99017	     5.48143
   250	   344.32382	     3.67277
   300	   255.96666	     2.62344
   350	   204.62570	     1.98095
   400	   157.57536	     1.50584
   450	   131.76418	     1.20251
   500	   112.87932	     0.98666
   550	    93.91823	     0.80522
   600	    80.69118	     0.67535
   650	    70.92283	     0.57433
   700	    60.79819	     0.48603
   750	    53.13555	     0.41948
   800	    47.56139	     0.36702
   850	    41.23301	     0.31899
   900	    37.11137	     0.28062
   950	    32.54669	     0.24602
  1000	    29.69476	     0.22037
  1050	    26.27756	     0.19521
  1100	    23.62227	     0.17520
  1150	    22.06417	     0.15884
  1200	    19.35606	     0.14232
  1250	    17.47498	     0.12896
  1300	    15.84104	     0.11684
  1350	    14.67072	     0.10668
  1400	    13.38728	     0.09685
  1450	    12.30829	     0.08896
  1500	    11.11553	     0.08088
  1550	     9.88645	     0.07390
  1600	     9.16506	     0.06881
  1650	     8.35984	     0.06334
  1700	     7.87104	     0.05855
  1750	     7.14022	     0.05414
  1800	     6.41267	     0.04962
  1850	     5.93991	     0.04597
  1900	     5.58190	     0.04286
  1950	     5.14462	     0.04006
  2000	     4.69688	     0.03712
  2050	     4.35637	     0.03445
  2100	     4.05596	     0.03223
  2150	     3.70987	     0.03005
  2200	     3.45555	     0.02800
  2250	     3.16549	     0.02625
  2300	     2.99149	     0.02487
  2350	     2.76841	     0.02337
  2400	     2.55944	     0.02179
  2450	     2.35419	     0.02027
  2500	     2.22997	     0.01930
  2550	     2.03009	     0.01793
  2600	     1.88182	     0.01666
  2650	     1.75770	     0.01562
  2700	     1.60653	     0.01469
  2750	     1.49916	     0.01394
  2800	     1.42198	     0.01331
  2850	     1.29614	     0.01225
  2900	     1.18514	     0.01154
  2950	     1.10584	     0.01084
  3000	     1.02328	     0.01022
  3050	     0.95891	     0.00962
  3100	     0.89575	     0.00913
  3150	     0.84760	     0.00878
  3200	     0.76926	     0.00806
  3250	     0.72013	     0.00765
