# Tiny Monte Carlo by Scott Prahl (http://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =    32768
#
# 0.184145 seconds
# 177.946338 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 20640.64600	   307.92811
    50	  3249.33231	    45.07089
   100	  1349.95097	    17.15403
   150	   747.27404	     8.91679
   200	   495.09750	     5.49636
   250	   345.86999	     3.67039
   300	   262.89888	     2.64083
   350	   204.13327	     1.97760
   400	   162.20033	     1.52031
   450	   132.02173	     1.20639
   500	   110.29461	     0.97456
   550	    94.05151	     0.80337
   600	    79.56756	     0.67188
   650	    69.66743	     0.57187
   700	    59.63111	     0.48212
   750	    52.87804	     0.41925
   800	    46.97427	     0.36370
   850	    41.07309	     0.31574
   900	    36.68493	     0.27852
   950	    33.00961	     0.24727
  1000	    29.18288	     0.21766
  1050	    26.75927	     0.19485
  1100	    24.08185	     0.17543
  1150	    21.15889	     0.15613
  1200	    19.56567	     0.14244
  1250	    17.68457	     0.12844
  1300	    16.08596	     0.11695
  1350	    14.34243	     0.10540
  1400	    13.37222	     0.09696
  1450	    12.23951	     0.08878
  1500	    10.97643	     0.08093
  1550	    10.02461	     0.07463
  1600	     9.31626	     0.06910
  1650	     8.55605	     0.06318
  1700	     7.76710	     0.05849
  1750	     7.13887	     0.05397
  1800	     6.49220	     0.04960
  1850	     6.17805	     0.04668
  1900	     5.50450	     0.04265
  1950	     5.14048	     0.04018
  2000	     4.73159	     0.03719
  2050	     4.37657	     0.03475
  2100	     4.01574	     0.03249
  2150	     3.69890	     0.02998
  2200	     3.44266	     0.02835
  2250	     3.16441	     0.02628
  2300	     2.94773	     0.02470
  2350	     2.78068	     0.02329
  2400	     2.52461	     0.02181
  2450	     2.37891	     0.02044
  2500	     2.17788	     0.01910
  2550	     2.00915	     0.01788
  2600	     1.89204	     0.01678
  2650	     1.76198	     0.01591
  2700	     1.63428	     0.01495
  2750	     1.48629	     0.01410
  2800	     1.40068	     0.01325
  2850	     1.28255	     0.01239
  2900	     1.18238	     0.01173
  2950	     1.12839	     0.01115
  3000	     1.03791	     0.01041
  3050	     0.96835	     0.00986
  3100	     0.87353	     0.00911
  3150	     0.83572	     0.00867
  3200	     0.78976	     0.00833
  3250	     0.73341	     0.00781
  3300	     0.66404	     0.00732
  3350	     0.62949	     0.00692
  3400	     0.58246	     0.00658
  3450	     0.54306	     0.00613
  3500	     0.50719	     0.00583
  3550	     0.47761	     0.00555
  3600	     0.44168	     0.00522
  3650	     0.42223	     0.00505
  3700	     0.39005	     0.00473
  3750	     0.36893	     0.00451
  3800	     0.34411	     0.00429
  3850	     0.32446	     0.00409
  3900	     0.29686	     0.00383
  3950	     0.28287	     0.00372
  4000	     0.25495	     0.00334
  4050	     0.25168	     0.00331
  4100	     0.22166	     0.00299
  4150	     0.20784	     0.00287
  4200	     0.19853	     0.00274
  4250	     0.18552	     0.00264
  4300	     0.16984	     0.00247
  4350	     0.15592	     0.00225
  4400	     0.14731	     0.00219
  4450	     0.13606	     0.00204
  4500	     0.12907	     0.00198
  4550	     0.11966	     0.00187
  4600	     0.11611	     0.00183
  4650	     0.10530	     0.00164
  4700	     0.10320	     0.00162
  4750	     0.09565	     0.00153
  4800	     0.08504	     0.00142
  4850	     0.08218	     0.00138
  4900	     0.07967	     0.00137
  4950	     0.07197	     0.00126
# extra	     0.02320
# Tiny Monte Carlo by Scott Prahl (http://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =    32768
#
# 0.182205 seconds
# 179.841286 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 20340.33105	   306.13018
    50	  3244.57303	    45.10142
   100	  1313.29965	    16.95271
   150	   740.79112	     8.89204
   200	   489.87242	     5.47766
   250	   346.06142	     3.67409
   300	   257.73672	     2.62428
   350	   200.24187	     1.95807
   400	   162.01161	     1.52378
   450	   136.37712	     1.22284
   500	   111.96205	     0.97831
   550	    92.08418	     0.79764
   600	    81.05208	     0.67623
   650	    70.98796	     0.57287
   700	    61.11026	     0.48822
   750	    52.53872	     0.41850
   800	    45.77031	     0.36020
   850	    41.10072	     0.31669
   900	    36.67691	     0.27923
   950	    33.34870	     0.24689
  1000	    29.75729	     0.21974
  1050	    26.73069	     0.19545
  1100	    23.86702	     0.17527
  1150	    21.53623	     0.15769
  1200	    19.43151	     0.14175
  1250	    17.64148	     0.12837
  1300	    16.01584	     0.11655
  1350	    14.72503	     0.10654
  1400	    13.10116	     0.09622
  1450	    12.02637	     0.08852
  1500	    10.92391	     0.08100
  1550	    10.16597	     0.07526
  1600	     9.38198	     0.06910
  1650	     8.42678	     0.06306
  1700	     7.94868	     0.05928
  1750	     7.22207	     0.05426
  1800	     6.57203	     0.05008
  1850	     6.10256	     0.04638
  1900	     5.68385	     0.04350
  1950	     5.04178	     0.03973
  2000	     4.68909	     0.03709
  2050	     4.35258	     0.03474
  2100	     4.02408	     0.03235
  2150	     3.68381	     0.02998
  2200	     3.42205	     0.02805
  2250	     3.14009	     0.02609
  2300	     2.92705	     0.02457
  2350	     2.72996	     0.02291
  2400	     2.54015	     0.02180
  2450	     2.35983	     0.02037
  2500	     2.19490	     0.01911
  2550	     2.03152	     0.01804
  2600	     1.84655	     0.01674
  2650	     1.71043	     0.01563
  2700	     1.58382	     0.01477
  2750	     1.47998	     0.01372
  2800	     1.38433	     0.01321
  2850	     1.29111	     0.01243
  2900	     1.18138	     0.01161
  2950	     1.11488	     0.01106
  3000	     1.04436	     0.01043
  3050	     0.97461	     0.00973
  3100	     0.89468	     0.00920
  3150	     0.83110	     0.00863
  3200	     0.79536	     0.00835
  3250	     0.73479	     0.00786
  3300	     0.68710	     0.00742
  3350	     0.63101	     0.00693
  3400	     0.58562	     0.00653
  3450	     0.55249	     0.00619
  3500	     0.52904	     0.00609
  3550	     0.48841	     0.00568
  3600	     0.45809	     0.00529
  3650	     0.42187	     0.00502
  3700	     0.39110	     0.00467
  3750	     0.35320	     0.00438
  3800	     0.33398	     0.00418
  3850	     0.31303	     0.00396
  3900	     0.29210	     0.00379
  3950	     0.27024	     0.00353
  4000	     0.25496	     0.00341
  4050	     0.23828	     0.00318
  4100	     0.22312	     0.00309
  4150	     0.21124	     0.00294
  4200	     0.19258	     0.00268
  4250	     0.17962	     0.00256
  4300	     0.17250	     0.00252
  4350	     0.16031	     0.00235
  4400	     0.14760	     0.00217
  4450	     0.13929	     0.00211
  4500	     0.13024	     0.00200
  4550	     0.12115	     0.00187
  4600	     0.11695	     0.00188
  4650	     0.10758	     0.00174
  4700	     0.09928	     0.00160
  4750	     0.09378	     0.00152
  4800	     0.08970	     0.00149
  4850	     0.08557	     0.00146
  4900	     0.07939	     0.00134
  4950	     0.07465	     0.00129
# extra	     0.02349
# Tiny Monte Carlo by Scott Prahl (http://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =    32768
#
# 0.182614 seconds
# 179.438458 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 20340.33105	   306.13018
    50	  3244.57303	    45.10142
