# Tiny Monte Carlo by Scott Prahl (http://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =    32768
#
# 0.013518 seconds
# 2424.002837 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	877824.00000	        -nan
    50	  4693.11077	    50.13618
   100	  1753.07782	    18.35950
   150	   905.34906	     9.44580
   200	   540.77349	     5.68091
   250	   325.44801	     3.63839
   300	   219.27973	     2.49123
   350	   157.91215	     1.85856
   400	   111.38022	     1.37897
   450	    90.47788	     1.11347
   500	    69.82278	     0.89298
   550	    52.69752	     0.71040
   600	    40.00014	     0.57477
   650	    31.68764	     0.46904
   700	    25.58986	     0.39597
   750	    22.40452	     0.34659
   800	    17.22609	     0.28670
   850	    15.61689	     0.25930
   900	    13.43642	     0.22434
   950	     9.35018	     0.18024
  1000	     8.18403	     0.16075
  1050	     6.35689	     0.13530
  1100	     6.27002	     0.12694
  1150	     5.34393	     0.11323
  1200	     4.74904	     0.10252
  1250	     4.41898	     0.09492
  1300	     3.13068	     0.07624
  1350	     2.70174	     0.06867
  1400	     2.89812	     0.06863
  1450	     2.36533	     0.05980
  1500	     2.22599	     0.05637
  1550	     1.67692	     0.04741
  1600	     1.66867	     0.04650
  1650	     1.62598	     0.04350
  1700	     1.25091	     0.03716
  1750	     1.23272	     0.03615
  1800	     1.09652	     0.03298
  1850	     0.85083	     0.02852
  1900	     0.77515	     0.02630
  1950	     0.84425	     0.02672
  2000	     0.76094	     0.02457
  2050	     0.55414	     0.02079
  2100	     0.58056	     0.02037
  2150	     0.48463	     0.01799
  2200	     0.41591	     0.01657
  2250	     0.40676	     0.01607
  2300	     0.39769	     0.01561
  2350	     0.36674	     0.01450
  2400	     0.33049	     0.01358
  2450	     0.28740	     0.01243
  2500	     0.27740	     0.01180
  2550	     0.25303	     0.01085
  2600	     0.26852	     0.01116
  2650	     0.25559	     0.01078
  2700	     0.22120	     0.00973
  2750	     0.17471	     0.00854
  2800	     0.14471	     0.00770
  2850	     0.19564	     0.00868
  2900	     0.12358	     0.00690
  2950	     0.17445	     0.00789
  3000	     0.19118	     0.00809
  3050	     0.16445	     0.00753
  3100	     0.12036	     0.00628
  3150	     0.10247	     0.00567
  3200	     0.09207	     0.00521
  3250	     0.10388	     0.00548
  3300	     0.11627	     0.00580
  3350	     0.10912	     0.00550
  3400	     0.10967	     0.00549
  3450	     0.10111	     0.00524
  3500	     0.08745	     0.00477
  3550	     0.05075	     0.00346
  3600	     0.09608	     0.00478
  3650	     0.08311	     0.00439
  3700	     0.07914	     0.00426
  3750	     0.06172	     0.00376
  3800	     0.05888	     0.00359
  3850	     0.06810	     0.00379
  3900	     0.07326	     0.00384
  3950	     0.05122	     0.00323
  4000	     0.05667	     0.00332
  4050	     0.04103	     0.00274
  4100	     0.05503	     0.00325
  4150	     0.04428	     0.00280
  4200	     0.04264	     0.00277
  4250	     0.03828	     0.00257
  4300	     0.04206	     0.00273
