# Tiny Monte Carlo by Scott Prahl (http://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =    32768
#
# 0.011764 seconds
# 2785.343658 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	877723.31250	        -nan
    50	  4695.29171	    50.14624
   100	  1754.30458	    18.36309
   150	   905.91583	     9.44665
   200	   541.57262	     5.68381
   250	   325.45831	     3.63827
   300	   219.60827	     2.49237
   350	   158.14018	     1.85957
   400	   111.42059	     1.37917
   450	    90.58731	     1.11400
   500	    69.83335	     0.89301
   550	    52.73008	     0.71058
   600	    40.00778	     0.57481
   650	    31.68008	     0.46894
   700	    25.57645	     0.39579
   750	    22.40599	     0.34658
   800	    17.20435	     0.28651
   850	    15.60747	     0.25917
   900	    13.42998	     0.22427
   950	     9.35800	     0.18029
  1000	     8.18104	     0.16071
  1050	     6.35689	     0.13530
  1100	     6.27002	     0.12694
  1150	     5.34128	     0.11320
  1200	     4.75205	     0.10254
  1250	     4.42618	     0.09500
  1300	     3.13068	     0.07624
  1350	     2.69962	     0.06864
  1400	     2.90125	     0.06865
  1450	     2.35825	     0.05971
  1500	     2.22492	     0.05636
  1550	     1.67401	     0.04736
  1600	     1.66867	     0.04650
  1650	     1.62598	     0.04350
  1700	     1.24821	     0.03711
  1750	     1.23655	     0.03619
  1800	     1.09543	     0.03297
  1850	     0.84943	     0.02850
  1900	     0.77407	     0.02628
  1950	     0.84518	     0.02674
  2000	     0.75831	     0.02452
  2050	     0.55414	     0.02079
  2100	     0.57982	     0.02036
  2150	     0.48463	     0.01799
  2200	     0.41591	     0.01657
  2250	     0.40729	     0.01608
  2300	     0.39830	     0.01562
  2350	     0.36674	     0.01450
  2400	     0.33049	     0.01358
  2450	     0.28740	     0.01243
  2500	     0.27740	     0.01180
  2550	     0.25303	     0.01085
  2600	     0.26852	     0.01116
  2650	     0.25559	     0.01078
  2700	     0.22120	     0.00973
  2750	     0.17610	     0.00857
  2800	     0.14471	     0.00770
