# Tiny Monte Carlo by Scott Prahl (http://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =    32768
#
# 0.013387 seconds
# 2447.811630 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	877772.25000	        -nan
    50	  4693.27190	    50.13818
   100	  1753.39391	    18.35998
   150	   905.28856	     9.44431
   200	   540.92103	     5.68098
   250	   325.30870	     3.63765
   300	   219.63897	     2.49246
   350	   158.03821	     1.85913
   400	   111.39819	     1.37904
   450	    90.57395	     1.11395
   500	    69.83759	     0.89307
   550	    52.74617	     0.71070
   600	    39.99836	     0.57475
   650	    31.70657	     0.46907
   700	    25.59221	     0.39592
   750	    22.38218	     0.34641
   800	    17.21919	     0.28666
   850	    15.60366	     0.25915
   900	    13.44460	     0.22440
   950	     9.36117	     0.18032
  1000	     8.17094	     0.16062
  1050	     6.35711	     0.13531
  1100	     6.27030	     0.12695
  1150	     5.34393	     0.11323
  1200	     4.74166	     0.10245
  1250	     4.42159	     0.09495
  1300	     3.12610	     0.07618
  1350	     2.70054	     0.06866
  1400	     2.90343	     0.06868
  1450	     2.36299	     0.05976
  1500	     2.22352	     0.05634
  1550	     1.67781	     0.04743
  1600	     1.66741	     0.04648
  1650	     1.62598	     0.04350
  1700	     1.25048	     0.03715
  1750	     1.23730	     0.03622
  1800	     1.09543	     0.03297
  1850	     0.84923	     0.02849
  1900	     0.77515	     0.02630
  1950	     0.84518	     0.02674
  2000	     0.76046	     0.02455
  2050	     0.55414	     0.02079
  2100	     0.57975	     0.02036
  2150	     0.48463	     0.01799
  2200	     0.41591	     0.01657
  2250	     0.40729	     0.01608
  2300	     0.39830	     0.01562
  2350	     0.36580	     0.01449
  2400	     0.32946	     0.01356
  2450	     0.28799	     0.01244
  2500	     0.27740	     0.01180
  2550	     0.25303	     0.01085
  2600	     0.26852	     0.01116
  2650	     0.25508	     0.01077
  2700	     0.22075	     0.00972
  2750	     0.17610	     0.00857
  2800	     0.14471	     0.00770
  2850	     0.19605	     0.00869
  2900	     0.12358	     0.00690
  2950	     0.17391	     0.00788
  3000	     0.19082	     0.00808
  3050	     0.16413	     0.00752
  3100	     0.12036	     0.00628
  3150	     0.10247	     0.00567
  3200	     0.09229	     0.00521
