# Tiny Monte Carlo by Scott Prahl (http://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =    32768
#
# 0.034648 seconds
# 945.734309 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	878847.56250	        -nan
    50	  4719.21387	    50.26573
   100	  1790.46664	    18.46009
   150	   897.09779	     9.34191
   200	   525.34104	     5.57614
   250	   332.48560	     3.63436
   300	   225.32427	     2.53503
   350	   154.54422	     1.83709
   400	   113.67567	     1.39429
   450	    88.42313	     1.10346
   500	    66.73393	     0.87144
   550	    51.48688	     0.70049
   600	    39.94104	     0.57217
   650	    33.40828	     0.48412
   700	    26.60506	     0.40317
   750	    20.58515	     0.33329
   800	    17.58417	     0.28933
   850	    14.33909	     0.24725
   900	    12.23664	     0.21626
   950	    10.06442	     0.18728
  1000	     8.73467	     0.16561
  1050	     7.26780	     0.14432
  1100	     6.39092	     0.12903
  1150	     5.23514	     0.11209
  1200	     4.60289	     0.10089
  1250	     3.95747	     0.09020
  1300	     3.57658	     0.08239
  1350	     3.00012	     0.07271
  1400	     2.61725	     0.06550
  1450	     2.31216	     0.05928
  1500	     1.99768	     0.05335
  1550	     1.86852	     0.04999
  1600	     1.55915	     0.04435
  1650	     1.41495	     0.04101
  1700	     1.28119	     0.03765
  1750	     1.15870	     0.03497
  1800	     1.04910	     0.03231
  1850	     0.88287	     0.02876
  1900	     0.82437	     0.02695
  1950	     0.73548	     0.02493
  2000	     0.68235	     0.02341
  2050	     0.59940	     0.02133
  2100	     0.58094	     0.02043
  2150	     0.53170	     0.01912
  2200	     0.47994	     0.01782
  2250	     0.40924	     0.01613
  2300	     0.38665	     0.01525
  2350	     0.35826	     0.01438
  2400	     0.35512	     0.01405
  2450	     0.33005	     0.01317
  2500	     0.32388	     0.01290
  2550	     0.26241	     0.01128
