# Tiny Monte Carlo by Scott Prahl (http://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =    32768
#
# 0.135310 seconds
# 242.169838 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 21125.87549	   311.02219
    50	  3255.32017	    45.17697
   100	  1321.03063	    17.02572
   150	   735.07007	     8.85721
   200	   469.41744	     5.39104
   250	   345.68777	     3.68419
   300	   253.63391	     2.61050
   350	   206.04721	     1.98319
   400	   163.05656	     1.52674
   450	   131.81160	     1.20322
   500	   112.21289	     0.98634
   550	    94.00944	     0.80807
   600	    80.60801	     0.67495
   650	    69.27289	     0.56891
   700	    60.16651	     0.48429
   750	    52.19214	     0.41618
   800	    46.56130	     0.36222
   850	    41.32529	     0.31762
   900	    35.98900	     0.27759
   950	    32.98056	     0.24784
  1000	    29.10761	     0.21828
  1050	    26.34439	     0.19486
  1100	    24.17919	     0.17628
  1150	    21.29750	     0.15724
  1200	    19.72281	     0.14200
  1250	    17.70509	     0.12853
  1300	    16.13003	     0.11665
  1350	    14.63478	     0.10668
  1400	    13.14615	     0.09652
  1450	    12.33163	     0.08945
  1500	    10.95595	     0.08072
  1550	     9.97800	     0.07402
  1600	     9.28716	     0.06886
  1650	     8.60867	     0.06369
  1700	     7.79734	     0.05843
  1750	     7.14078	     0.05445
  1800	     6.53135	     0.04966
  1850	     6.03553	     0.04648
  1900	     5.64822	     0.04351
  1950	     5.10065	     0.03978
  2000	     4.72834	     0.03713
  2050	     4.39252	     0.03464
  2100	     4.12449	     0.03276
  2150	     3.71765	     0.03001
  2200	     3.47918	     0.02836
  2250	     3.21359	     0.02659
  2300	     2.99366	     0.02503
  2350	     2.74419	     0.02322
  2400	     2.51252	     0.02163
  2450	     2.35203	     0.02035
  2500	     2.13478	     0.01881
  2550	     1.99528	     0.01790
  2600	     1.85980	     0.01687
  2650	     1.69680	     0.01564
  2700	     1.57567	     0.01472
  2750	     1.49124	     0.01390
  2800	     1.37295	     0.01315
  2850	     1.28563	     0.01230
  2900	     1.21002	     0.01161
  2950	     1.11167	     0.01089
  3000	     1.02986	     0.01037
  3050	     0.97185	     0.00983
  3100	     0.91609	     0.00931
  3150	     0.84534	     0.00878
  3200	     0.80017	     0.00838
