# Tiny Monte Carlo by Scott Prahl (http://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =    32768
#
# 0.147072 seconds
# 222.802805 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 20610.76465	   307.65117
    50	  3348.93980	    45.70381
   100	  1368.21063	    17.26176
   150	   717.43201	     8.76737
   200	   479.08642	     5.43154
   250	   345.30134	     3.66851
   300	   257.35695	     2.62893
   350	   203.34782	     1.97603
   400	   164.76893	     1.53123
   450	   134.58956	     1.21481
   500	   110.32453	     0.97367
   550	    94.29260	     0.80437
   600	    78.88058	     0.66960
   650	    70.46913	     0.57301
   700	    60.88693	     0.48725
   750	    53.42594	     0.42007
   800	    47.38405	     0.36517
   850	    41.62986	     0.31814
   900	    36.39144	     0.27758
   950	    32.50308	     0.24514
  1000	    29.10366	     0.21731
  1050	    26.28398	     0.19581
  1100	    23.54277	     0.17457
  1150	    21.64894	     0.15784
  1200	    19.67993	     0.14298
  1250	    17.54315	     0.12829
  1300	    15.89282	     0.11644
  1350	    14.55246	     0.10555
  1400	    13.51970	     0.09746
  1450	    12.24946	     0.08899
  1500	    11.41762	     0.08190
  1550	    10.14984	     0.07466
  1600	     9.36248	     0.06845
  1650	     8.46763	     0.06346
  1700	     7.77186	     0.05851
  1750	     7.06609	     0.05416
  1800	     6.58900	     0.05027
  1850	     6.04826	     0.04655
  1900	     5.48728	     0.04284
  1950	     5.15901	     0.04013
  2000	     4.70810	     0.03731
  2050	     4.38248	     0.03495
  2100	     4.00551	     0.03210
  2150	     3.71264	     0.02998
  2200	     3.40076	     0.02813
  2250	     3.18611	     0.02637
  2300	     2.88656	     0.02429
  2350	     2.66614	     0.02274
  2400	     2.49664	     0.02151
  2450	     2.34253	     0.02023
  2500	     2.14358	     0.01877
  2550	     2.05175	     0.01814
  2600	     1.86425	     0.01671
  2650	     1.73695	     0.01579
  2700	     1.57255	     0.01459
  2750	     1.48535	     0.01376
  2800	     1.39436	     0.01322
  2850	     1.29604	     0.01250
  2900	     1.22497	     0.01164
  2950	     1.13740	     0.01101
  3000	     1.06365	     0.01045
  3050	     0.97781	     0.00986
  3100	     0.91765	     0.00937
  3150	     0.83240	     0.00868
  3200	     0.78516	     0.00820
  3250	     0.73133	     0.00787
  3300	     0.66454	     0.00717
  3350	     0.61306	     0.00670
  3400	     0.57727	     0.00647
  3450	     0.54536	     0.00616
  3500	     0.51429	     0.00592
  3550	     0.48177	     0.00552
  3600	     0.43465	     0.00507
  3650	     0.41775	     0.00498
  3700	     0.38340	     0.00462
  3750	     0.36130	     0.00446
  3800	     0.33149	     0.00418
  3850	     0.32132	     0.00402
  3900	     0.29117	     0.00372
  3950	     0.26813	     0.00352
  4000	     0.24753	     0.00325
  4050	     0.23841	     0.00324
  4100	     0.22312	     0.00308
  4150	     0.20944	     0.00291
  4200	     0.20164	     0.00282
  4250	     0.18422	     0.00262
  4300	     0.16808	     0.00247
  4350	     0.16198	     0.00237
  4400	     0.15203	     0.00226
  4450	     0.14611	     0.00224
  4500	     0.13414	     0.00204
  4550	     0.12771	     0.00194
  4600	     0.11590	     0.00178
  4650	     0.10969	     0.00174
  4700	     0.09888	     0.00159
  4750	     0.09807	     0.00161
  4800	     0.09015	     0.00150
  4850	     0.08504	     0.00144
  4900	     0.07789	     0.00133
  4950	     0.07145	     0.00127
# extra	     0.02348
# Tiny Monte Carlo by Scott Prahl (http://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =    32768
#
# 0.148217 seconds
# 221.080841 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 20610.76465	   307.65117
    50	  3348.93980	    45.70381
   100	  1368.21063	    17.26176
   150	   717.43201	     8.76737
   200	   479.08642	     5.43154
   250	   345.30134	     3.66851
   300	   257.35695	     2.62893
   350	   203.34782	     1.97603
   400	   164.76893	     1.53123
   450	   134.58956	     1.21481
   500	   110.32453	     0.97367
   550	    94.29260	     0.80437
   600	    78.88058	     0.66960
