# Tiny Monte Carlo by Scott Prahl (http://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =    32768
#
# 0.087640 seconds
# 373.892914 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 20005.97754	   303.74193
    50	  3231.26660	    45.01392
   100	  1341.51979	    17.12938
   150	   747.33153	     8.92735
   200	   478.22307	     5.42746
   250	   341.56290	     3.67286
   300	   260.18453	     2.63574
   350	   202.38741	     1.96892
   400	   165.87244	     1.53455
   450	   133.62398	     1.21436
   500	   110.94805	     0.97814
   550	    94.35362	     0.80557
   600	    79.50002	     0.66855
   650	    68.79243	     0.56714
   700	    60.73750	     0.48539
   750	    53.53761	     0.41962
   800	    46.87804	     0.36349
   850	    41.81155	     0.31851
   900	    36.37731	     0.27656
   950	    33.14140	     0.24709
  1000	    29.41483	     0.21882
  1050	    26.88960	     0.19712
  1100	    23.85878	     0.17505
  1150	    21.14956	     0.15692
  1200	    19.32032	     0.14197
  1250	    17.57042	     0.12845
  1300	    15.97417	     0.11650
  1350	    14.70049	     0.10686
  1400	    13.16214	     0.09657
  1450	    12.24711	     0.08838
  1500	    11.00456	     0.08111
  1550	    10.19048	     0.07478
  1600	     9.29747	     0.06863
  1650	     8.60573	     0.06346
  1700	     7.68661	     0.05838
  1750	     7.17274	     0.05406
  1800	     6.56890	     0.05027
  1850	     6.08422	     0.04673
  1900	     5.48775	     0.04285
  1950	     5.04457	     0.03995
  2000	     4.65347	     0.03683
  2050	     4.33045	     0.03460
  2100	     4.07272	     0.03251
  2150	     3.80723	     0.03070
  2200	     3.47646	     0.02843
  2250	     3.21018	     0.02652
  2300	     2.99112	     0.02496
  2350	     2.69730	     0.02299
  2400	     2.54102	     0.02184
  2450	     2.32452	     0.02020
  2500	     2.20997	     0.01927
  2550	     2.00577	     0.01799
  2600	     1.88503	     0.01699
  2650	     1.74812	     0.01595
  2700	     1.60255	     0.01479
  2750	     1.51034	     0.01417
  2800	     1.39039	     0.01310
  2850	     1.28625	     0.01241
  2900	     1.21335	     0.01169
  2950	     1.13006	     0.01098
  3000	     1.03933	     0.01043
  3050	     0.95804	     0.00969
  3100	     0.87855	     0.00904
  3150	     0.83075	     0.00868
  3200	     0.76944	     0.00816
  3250	     0.70302	     0.00754
  3300	     0.65641	     0.00711
  3350	     0.62936	     0.00692
  3400	     0.58610	     0.00645
  3450	     0.55478	     0.00616
  3500	     0.51590	     0.00578
  3550	     0.46938	     0.00539
  3600	     0.45005	     0.00525
  3650	     0.41704	     0.00500
  3700	     0.38959	     0.00473
  3750	     0.35225	     0.00436
  3800	     0.34197	     0.00420
  3850	     0.31661	     0.00401
  3900	     0.29083	     0.00368
  3950	     0.28072	     0.00360
  4000	     0.26346	     0.00345
  4050	     0.24646	     0.00329
  4100	     0.22771	     0.00311
  4150	     0.21180	     0.00295
  4200	     0.20080	     0.00288
  4250	     0.18334	     0.00258
  4300	     0.17136	     0.00249
  4350	     0.15921	     0.00234
  4400	     0.15475	     0.00228
  4450	     0.14228	     0.00214
  4500	     0.13217	     0.00198
  4550	     0.11981	     0.00183
  4600	     0.11530	     0.00182
  4650	     0.10906	     0.00177
  4700	     0.09879	     0.00164
  4750	     0.09403	     0.00155
  4800	     0.08944	     0.00150
  4850	     0.08484	     0.00144
  4900	     0.07548	     0.00131
  4950	     0.07257	     0.00128
# extra	     0.02363
# Tiny Monte Carlo by Scott Prahl (http://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =    32768
#
# 0.086758 seconds
# 377.692343 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 20005.97754	   303.74193
    50	  3231.26660	    45.01392
   100	  1341.51979	    17.12938
   150	   747.33153	     8.92735
   200	   478.22307	     5.42746
   250	   341.56290	     3.67286
   300	   260.18453	     2.63574
   350	   202.38741	     1.96892
   400	   165.87244	     1.53455
   450	   133.62398	     1.21436
   500	   110.94805	     0.97814
   550	    94.35362	     0.80557
   600	    79.50002	     0.66855
   650	    68.79243	     0.56714
   700	    60.73750	     0.48539
   750	    53.53761	     0.41962
   800	    46.87804	     0.36349
   850	    41.81155	     0.31851
   900	    36.37731	     0.27656
   950	    33.14140	     0.24709
  1000	    29.41483	     0.21882
  1050	    26.88960	     0.19712
  1100	    23.85878	     0.17505
  1150	    21.14956	     0.15692
  1200	    19.32032	     0.14197
  1250	    17.57042	     0.12845
  1300	    15.97417	     0.11650
  1350	    14.70049	     0.10686
  1400	    13.16214	     0.09657
  1450	    12.24711	     0.08838
  1500	    11.00456	     0.08111
  1550	    10.19048	     0.07478
  1600	     9.29747	     0.06863
  1650	     8.60573	     0.06346
  1700	     7.68661	     0.05838
  1750	     7.17274	     0.05406
  1800	     6.56890	     0.05027
  1850	     6.08422	     0.04673
