# Tiny Monte Carlo by Scott Prahl (http://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =    32768
#
# 0.151268 seconds
# 216.622380 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 20223.54639	   305.35247
    50	  3192.76151	    44.77248
   100	  1375.02709	    17.30686
   150	   746.39435	     8.92636
   200	   486.09250	     5.45017
   250	   341.00091	     3.66759
   300	   256.51511	     2.62545
   350	   201.53833	     1.97476
   400	   158.40554	     1.51075
   450	   134.16886	     1.21464
   500	   110.18890	     0.97536
   550	    94.21815	     0.80494
   600	    79.40313	     0.66768
   650	    69.49371	     0.56608
   700	    60.88810	     0.48708
   750	    53.35165	     0.41771
   800	    47.44445	     0.36424
   850	    41.15237	     0.31645
   900	    36.87964	     0.27915
   950	    33.23871	     0.24819
  1000	    29.31679	     0.21868
  1050	    26.85942	     0.19706
  1100	    23.49891	     0.17416
  1150	    21.24310	     0.15632
  1200	    19.88543	     0.14296
  1250	    17.64974	     0.12835
  1300	    15.78076	     0.11572
  1350	    14.46785	     0.10587
  1400	    13.67067	     0.09802
  1450	    12.30289	     0.08951
  1500	    10.95635	     0.08136
  1550	    10.01479	     0.07440
  1600	     9.25147	     0.06864
  1650	     8.50014	     0.06336
  1700	     7.86872	     0.05865
  1750	     7.08440	     0.05403
  1800	     6.70135	     0.05047
  1850	     6.06521	     0.04658
  1900	     5.57063	     0.04334
  1950	     5.24307	     0.04057
  2000	     4.79481	     0.03767
  2050	     4.36684	     0.03450
  2100	     4.05229	     0.03245
  2150	     3.75168	     0.03030
  2200	     3.43855	     0.02808
  2250	     3.17203	     0.02635
  2300	     2.93207	     0.02474
  2350	     2.73996	     0.02323
  2400	     2.57530	     0.02187
  2450	     2.34408	     0.02023
  2500	     2.13995	     0.01885
  2550	     2.03619	     0.01797
  2600	     1.83416	     0.01656
  2650	     1.71361	     0.01574
  2700	     1.60426	     0.01476
  2750	     1.48857	     0.01398
  2800	     1.41593	     0.01322
  2850	     1.28057	     0.01234
  2900	     1.20743	     0.01165
  2950	     1.11263	     0.01091
  3000	     1.06013	     0.01039
  3050	     0.96609	     0.00976
  3100	     0.89233	     0.00913
  3150	     0.85245	     0.00886
  3200	     0.78721	     0.00824
  3250	     0.73469	     0.00784
  3300	     0.69203	     0.00737
  3350	     0.63196	     0.00699
  3400	     0.56913	     0.00636
  3450	     0.54646	     0.00615
  3500	     0.49796	     0.00580
  3550	     0.46762	     0.00546
  3600	     0.43439	     0.00522
  3650	     0.40592	     0.00480
  3700	     0.38594	     0.00474
  3750	     0.34983	     0.00430
  3800	     0.32846	     0.00409
  3850	     0.31275	     0.00400
  3900	     0.29734	     0.00381
  3950	     0.27774	     0.00357
  4000	     0.25612	     0.00339
  4050	     0.23902	     0.00322
  4100	     0.22518	     0.00314
  4150	     0.20719	     0.00291
  4200	     0.18756	     0.00271
  4250	     0.18120	     0.00261
  4300	     0.17181	     0.00251
  4350	     0.16053	     0.00239
  4400	     0.14783	     0.00222
  4450	     0.13847	     0.00209
  4500	     0.13416	     0.00206
  4550	     0.12256	     0.00189
  4600	     0.11971	     0.00191
  4650	     0.11165	     0.00180
  4700	     0.10392	     0.00169
  4750	     0.09639	     0.00160
  4800	     0.08908	     0.00148
  4850	     0.08335	     0.00141
  4900	     0.07723	     0.00132
  4950	     0.07622	     0.00130
# extra	     0.02338
# Tiny Monte Carlo by Scott Prahl (http://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =    32768
#
# 0.150999 seconds
# 217.008305 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 20223.54639	   305.35247
    50	  3192.76151	    44.77248
   100	  1375.02709	    17.30686
   150	   746.39435	     8.92636
   200	   486.09250	     5.45017
   250	   341.00091	     3.66759
   300	   256.51511	     2.62545
   350	   201.53833	     1.97476
   400	   158.40554	     1.51075
   450	   134.16886	     1.21464
   500	   110.18890	     0.97536
   550	    94.21815	     0.80494
   600	    79.40313	     0.66768
   650	    69.49371	     0.56608
   700	    60.88810	     0.48708
   750	    53.35165	     0.41771
   800	    47.44445	     0.36424
   850	    41.15237	     0.31645
   900	    36.87964	     0.27915
   950	    33.23871	     0.24819
  1000	    29.31679	     0.21868
  1050	    26.85942	     0.19706
  1100	    23.49891	     0.17416
  1150	    21.24310	     0.15632
  1200	    19.88543	     0.14296
  1250	    17.64974	     0.12835
  1300	    15.78076	     0.11572
  1350	    14.46785	     0.10587
  1400	    13.67067	     0.09802
  1450	    12.30289	     0.08951
  1500	    10.95635	     0.08136
  1550	    10.01479	     0.07440
  1600	     9.25147	     0.06864
  1650	     8.50014	     0.06336
  1700	     7.86872	     0.05865
  1750	     7.08440	     0.05403
  1800	     6.70135	     0.05047
  1850	     6.06521	     0.04658
  1900	     5.57063	     0.04334
  1950	     5.24307	     0.04057
  2000	     4.79481	     0.03767
  2050	     4.36684	     0.03450
  2100	     4.05229	     0.03245
  2150	     3.75168	     0.03030
