# Tiny Monte Carlo by Scott Prahl (http://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =    32768
#
# 0.007275 seconds
# 4504.402955 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	876954.28125	        -nan
    50	  4702.59166	    50.25485
   100	  1758.92748	    18.37763
   150	   908.65818	     9.41550
   200	   516.64376	     5.54484
   250	   329.90860	     3.63090
   300	   227.46278	     2.55420
   350	   158.46522	     1.86194
   400	   119.84961	     1.42789
   450	    88.92269	     1.10516
   500	    67.48033	     0.87729
   550	    51.30325	     0.69967
   600	    40.92751	     0.57662
   650	    32.55315	     0.47778
   700	    26.70236	     0.40355
   750	    21.51570	     0.34108
   800	    17.52240	     0.28985
   850	    14.57869	     0.24889
   900	    12.41250	     0.21756
   950	    10.00932	     0.18602
  1000	     8.83548	     0.16607
  1050	     7.20226	     0.14262
  1100	     6.37512	     0.12894
  1150	     5.27871	     0.11250
  1200	     4.61720	     0.10127
  1250	     4.02304	     0.09066
  1300	     3.45349	     0.08078
  1350	     3.06703	     0.07308
  1400	     2.60086	     0.06526
  1450	     2.32208	     0.05913
  1500	     2.09246	     0.05466
  1550	     1.81534	     0.04926
  1600	     1.60475	     0.04506
  1650	     1.43007	     0.04089
  1700	     1.27253	     0.03752
  1750	     1.09929	     0.03386
  1800	     0.98673	     0.03117
  1850	     0.92607	     0.02953
  1900	     0.80999	     0.02686
  1950	     0.76360	     0.02535
  2000	     0.70100	     0.02353
  2050	     0.59731	     0.02146
  2100	     0.55294	     0.02000
  2150	     0.53975	     0.01943
  2200	     0.49834	     0.01807
  2250	     0.41128	     0.01613
  2300	     0.39608	     0.01540
  2350	     0.35574	     0.01425
  2400	     0.34711	     0.01382
  2450	     0.30115	     0.01268
  2500	     0.27515	     0.01177
  2550	     0.26311	     0.01132
  2600	     0.25158	     0.01088
  2650	     0.25264	     0.01071
  2700	     0.21926	     0.00971
  2750	     0.20916	     0.00936
  2800	     0.19799	     0.00895
  2850	     0.18002	     0.00839
  2900	     0.16112	     0.00781
  2950	     0.17174	     0.00789
  3000	     0.16763	     0.00764
  3050	     0.13769	     0.00683
  3100	     0.13067	     0.00656
  3150	     0.11795	     0.00612
  3200	     0.12329	     0.00613
  3250	     0.10970	     0.00571
  3300	     0.10962	     0.00562
  3350	     0.10287	     0.00534
  3400	     0.09612	     0.00509
  3450	     0.09540	     0.00503
  3500	     0.08503	     0.00465
  3550	     0.07733	     0.00438
  3600	     0.08241	     0.00448
  3650	     0.07304	     0.00411
  3700	     0.07269	     0.00410
  3750	     0.06277	     0.00377
  3800	     0.06344	     0.00372
  3850	     0.06060	     0.00354
  3900	     0.05970	     0.00351
  3950	     0.05379	     0.00326
  4000	     0.04835	     0.00305
  4050	     0.05089	     0.00311
  4100	     0.05074	     0.00308
  4150	     0.05045	     0.00299
  4200	     0.04677	     0.00287
  4250	     0.04306	     0.00271
  4300	     0.04491	     0.00277
  4350	     0.04273	     0.00266
  4400	     0.03644	     0.00241
  4450	     0.03756	     0.00244
  4500	     0.03600	     0.00234
  4550	     0.03181	     0.00218
  4600	     0.03217	     0.00218
  4650	     0.03423	     0.00220
  4700	     0.02974	     0.00205
  4750	     0.02898	     0.00197
  4800	     0.03033	     0.00201
  4850	     0.02700	     0.00188
  4900	     0.02698	     0.00187
  4950	     0.02349	     0.00172
# extra	     0.20048
