# Tiny Monte Carlo by Scott Prahl (http://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =    32768
#
# 0.156376 seconds
# 209.546786 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 20446.49414	   306.68634
    50	  3273.14879	    45.28030
   100	  1334.45523	    17.07328
   150	   746.59056	     8.93173
   200	   484.86972	     5.45485
   250	   336.86062	     3.63827
   300	   265.67802	     2.65448
   350	   200.66922	     1.96004
   400	   163.82636	     1.52752
   450	   133.54142	     1.20920
   500	   111.13288	     0.97993
   550	    93.60100	     0.80628
   600	    80.96463	     0.67508
   650	    68.90028	     0.56686
   700	    60.12183	     0.48400
   750	    52.51550	     0.41715
   800	    47.49338	     0.36510
   850	    41.29441	     0.31680
   900	    36.14771	     0.27687
   950	    32.56165	     0.24555
  1000	    28.83514	     0.21801
  1050	    26.08469	     0.19427
  1100	    23.60317	     0.17471
  1150	    21.56142	     0.15703
  1200	    19.25146	     0.14144
  1250	    17.25930	     0.12720
  1300	    15.72305	     0.11578
  1350	    14.56730	     0.10626
  1400	    13.13319	     0.09651
  1450	    11.97499	     0.08838
  1500	    11.14385	     0.08145
  1550	    10.25735	     0.07561
  1600	     9.12411	     0.06850
  1650	     8.61165	     0.06392
  1700	     7.81107	     0.05836
  1750	     7.33555	     0.05449
  1800	     6.66384	     0.05038
  1850	     6.23254	     0.04727
  1900	     5.64073	     0.04367
  1950	     5.08202	     0.03994
  2000	     4.76090	     0.03773
  2050	     4.40352	     0.03501
  2100	     4.11161	     0.03272
  2150	     3.74128	     0.03056
  2200	     3.43805	     0.02832
  2250	     3.16898	     0.02630
  2300	     2.94756	     0.02471
  2350	     2.81372	     0.02339
  2400	     2.54737	     0.02180
  2450	     2.37450	     0.02062
  2500	     2.17209	     0.01910
  2550	     1.99634	     0.01786
  2600	     1.89102	     0.01697
  2650	     1.75690	     0.01588
  2700	     1.61855	     0.01475
  2750	     1.49579	     0.01403
  2800	     1.41676	     0.01324
  2850	     1.29256	     0.01236
  2900	     1.20585	     0.01170
  2950	     1.14426	     0.01121
  3000	     1.05768	     0.01064
  3050	     0.97155	     0.00987
  3100	     0.91604	     0.00942
  3150	     0.83705	     0.00872
  3200	     0.77895	     0.00819
  3250	     0.72800	     0.00778
  3300	     0.69204	     0.00744
  3350	     0.63117	     0.00696
  3400	     0.60344	     0.00670
  3450	     0.54640	     0.00616
  3500	     0.50496	     0.00580
  3550	     0.47265	     0.00553
  3600	     0.44063	     0.00532
  3650	     0.41533	     0.00498
  3700	     0.38315	     0.00464
  3750	     0.36267	     0.00448
  3800	     0.32105	     0.00411
  3850	     0.30907	     0.00391
  3900	     0.29274	     0.00372
  3950	     0.26593	     0.00354
  4000	     0.25159	     0.00335
  4050	     0.23675	     0.00315
  4100	     0.22454	     0.00305
  4150	     0.21217	     0.00288
  4200	     0.19813	     0.00273
